unknown,telephone_nr,house_number,postcode,city,telephone_nr,house_number,postcode,city,legal_type,postcode,city,house_number,postcode,city,country,telephone_nr,telephone_nr,gender,sbi_code,sbi_code,sbi_code,sbi_description,sbi_description,sbi_description,date,date,date,date
K60957,0541-537390,4.0,7060 AC,Maarssen,,15.0,3772 MN,Bunnik,Besloten Vennootschap met gewone structuur,3024EE,ZWOLLE,17.0,6097AS,VELDHOVEN,NLD,0547 284868,06 39588342,,2453.0,,,Algemeen overheidsbestuur,Uitzendbureaus,Uitleenbureaus,22-7-2010,1-10-1990,,2-4-1905
D-00085,078 - 6306300,2.0,3500 AH,Assendelft,,44137.0,2964 ZG,Rosmalen,Besloten Vennootschap met gewone structuur,3335LH,VELDHOVEN,6.0,4207HB,BARNEVELD,NLD,,,,,,,Overige gespecialiseerde werkzaamheden in de bouw n.e.g.,,,4-9-2012,,,4-5-2004
K60736,0182-547500,156.0,4250 DA,'s-Hertogenbosch,,800.0,7812 HZ,Velserbroek,Besloten Vennootschap met gewone structuur,5102AE,UTRECHT,10.0,3440AM,ROTTERDAM,NLD,0252 672293,,m,8411.0,4311.0,6420.0,Ingenieurs en overig technisch ontwerp en advies,"Groothandel in machines en apparaten voor de warmte-, koel- en vriestechniek",,1-10-2007,26-1-1954,16-6-1998,21-5-2010
1001633,078-6910302,800.0,3925 ZJ,Alkmaar,,6.0,8000 AP,Barneveld,Vennootschap onder firma,1014BV,VROUWENPAROCHIE,8.0,3400AA,MAARSSEN,NLD,030  6869030,,m,7112.0,78202.0,4321.0,Algemene burgerlijke en utiliteitsbouw,Financiële holdings,,22-10-2008,1-11-1985,29-3-1977,21-7-2016
K48500,0512 - 582900,20.0,1000 CC,Maarssen,,800.0,2595 AK,Aalten,Besloten Vennootschap met gewone structuur,1019AJ,MEERSSEN,179.0,6641TL,OISTERWIJK,NLD,030  6598911,,m,,4110.0,,Wegenbouw,,,24-8-2015,,30-5-2006,10-4-2015
D-00151,030 2199900,2.0,3526 KL,Nieuw Vennep,,3150.0,5830 AC,IJmuiden,Besloten Vennootschap met gewone structuur,5741RR,RIDDERKERK,12.0,4130EE,GOUDA,NLD,0165 390500,,,43222.0,,,Algemeen overheidsbestuur,Uitleenbureaus,,21-7-2005,10-1-1996,24-10-1973,13-2-2014
K58071,079 3170170,8.0,2660 AA,Dordrecht,,4.0,2509 LP,Almelo,Publiekrechtelijke rechtspersoon,4004LC,'S-HERTOGENBOSCH,13.0,1628WR,ZEELAND,NLD,0344 578578,,,7112.0,,,Uitzendbureaus,,Leggen van elektriciteits- en telecommunicatiekabels,26-10-2009,25-6-1975,,1-1-1998
D-00154,,10.0,8606 JJ,Hoorn NH,,124.0,6300 AZ,Wijchen,Besloten Vennootschap met gewone structuur,5651GG,VENLO,40.0,1103SG,VEGHEL,NLD,020  5857600,,m,4120.0,43221.0,7112.0,Algemeen overheidsbestuur,,,16-10-2002,12-5-2005,,5-11-2010
K60797,,14.0,4700 BA,Bergen op Zoom,078-6448112,91.0,9350 AC,Papendrecht,Besloten Vennootschap met gewone structuur,3581CN,APELDOORN,22.0,5902RD,CAPELLE AAN DEN IJSSEL,NLD,0348 551424,06 53895419,,7112.0,,,Wegenbouw,,,11-7-2012,26-3-1997,,15-4-1977
K59637,088 - 5500750 dagelijks 8-12 uur,60.0,1058 AA,Dalfsen,,10000.0,7400 AE,'s-Gravenhage,Besloten Vennootschap met gewone structuur,5248JT,HARDERWIJK,6.0,4600AA,UTRECHT,NLD,030  2239799,,,7112.0,78202.0,,Ingenieurs en overig technisch ontwerp en advies,Uitleenbureaus,,13-7-2009,,25-2-2008,31-5-1985
1002244,040 - 2597659,18.0,8300 AJ,Hellevoetsluis,,15.0,4207 HB,Maastricht,Besloten Vennootschap met gewone structuur,7417DE,MAARHEEZE,19.0,3500GK,BUNNIK,NLD,030  6598966,,,47914.0,,,"Vervaardiging van overige machines, apparaten en werktuigen voor specifieke doeleinden n.e.g.",Slopen van bouwwerken,Groothandel in bloemen en planten,1-10-2008,29-11-2000,,1-10-2000
D-00002,030-6598777 (09:00 - 14:00),15.0,3430 RA,Papendrecht,,175.0,9290 AA,Kerkrade,Eenmanszaak,4631SP,GENNEP,16.0,5600AA,NIJMEGEN,NLD,0413 362926,,m,4120.0,43221.0,47596.0,Bouwtimmeren,Projectontwikkeling,"Groothandel in overige machines, apparaten en toebehoren voor industrie en handel n.e.g.",10-5-2010,17-10-1985,,1-1-2010
D-00072,,800.0,3350 AA,Best,,3.0,3004 EB,Harderwijk,Besloten Vennootschap met gewone structuur,3274KJ,SON EN BREUGEL,27.0,3992AE,LELYSTAD,NLD,0320 278911,,,42111.0,42111.0,,Vervaardiging van holglas,Vervaardiging van machines voor de productie van voedings- en genotmiddelen,,14-10-2015,31-8-1978,,1-1-2007
D-00181,,260.0,7000 AE,Nijverdal,,8.0,6170 AA,Gouda,Besloten Vennootschap met gewone structuur,8013PM,ROSMALEN,8.0,3980CA,ROSMALEN,NLD,030  7470700,,,7112.0,4332.0,,Algemene burgerlijke en utiliteitsbouw,,,24-7-2007,31-12-1976,,10-5-1935
1001746,0478-578444 (Spie Numac Maintenance),161.0,5730 AA,Echt,,2.0,5260 GA,Uden,Besloten Vennootschap met gewone structuur,5617BD,'S-HERTOGENBOSCH,1.0,3800AA,WIJCHEN,NLD,010  4078911,,,4120.0,2651.0,,Ingenieurs en overig technisch ontwerp en advies,Handel in en reparatie van zwaardere bedrijfsauto's (geen import van nieuwe),,12-10-2015,,17-10-1985,1-1-1981
K60994,0184 - 417114,130.0,5400 AM,Helmond,,240.0,3439 MN,Rosmalen,Besloten Vennootschap met gewone structuur,3225LR,HEESCH,2.0,3439MR,BEESD,NLD,0591 613344,,,8411.0,,,Financiële holdings,Architecten (geen interieurarchitecten),,6-6-2001,3-6-2010,,1-1-1998
K59559,0113 503030 076 5781200 adm,900.0,5600 PN,Gouda,,18.0,4800 CG,Boekel,Besloten Vennootschap met gewone structuur,7461JA,DRACHTEN,63.0,3350AH,BUNNIK,NLD,013  5729100,,,3514.0,,4321.0,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",,Uitleenbureaus,28-3-2013,,31-5-2007,29-9-2008
K33800,030-6868121 / 030-6347914,307.0,5300 DA,Almelo,,14.0,6710 AE,Grave,Besloten Vennootschap met gewone structuur,3072AP,VIANEN,25.0,1303AE,HENGELO OV,NLD,088  8778778,,,4332.0,7112.0,4321.0,Vervaardiging van stoomketels (geen ketels voor centrale verwarming),,Algemene burgerlijke en utiliteitsbouw,16-1-2012,,11-9-1989,16-11-1983
D-00102,,356.0,7460 AE,Oldenzaal,,124.0,3430 BL,Utrecht,Besloten Vennootschap met gewone structuur,4849BR,DELFT,81.0,3002AB,MAARHEEZE,NLD,030  6598649,,m,7112.0,,,Uitzendbureaus,,,,19-3-1986,,1-7-1955
1001514,030-2650500,24.0,5900 AA,Someren,,5.0,4824 AH,Elburg,Besloten Vennootschap met gewone structuur,8305BR,EPE,33.0,3430BN,VELDHOVEN,NLD,0525 659888,,,3315.0,7112.0,,Installatie van elektronische en optische apparatuur,,,24-3-2010,27-2-2002,14-9-1972,16-10-2009
D-00174,"0493-494888 (ma-do tot 17:00, vr tot 12:30)",2.0,5200 GZ,Terborg,,305.0,5660 GA,Dordrecht,Besloten Vennootschap met gewone structuur,9611KE,KESTEREN,38.0,6865ZG,AALTEN,NLD,050  3119559,,,8412.0,46694.0,78202.0,Installatie van verwarmings- en luchtbehandelingsapparatuur,Loodgieters- en fitterswerk; installatie van sanitair,Heien en andere funderingswerkzaamheden,5-9-2008,,,16-8-1955
D-00028,,99.0,1300 BH,Eindhoven,,12.0,7559 SE,Rosmalen,Vennootschap onder firma,2908LJ,HOOGELOON,40.0,9077SB,EINDHOVEN,NLD,0180 417733,,,7112.0,,,Reparatie en onderhoud van machines voor algemeen gebruik en machine-onderdelen (geen gereedschap),Uitleenbureaus,,1-2-2007,20-3-2015,,22-9-1951
K15300,,34.0,3980 CB,Groningen,,121.0,3980 CE,Kollum,Besloten Vennootschap met gewone structuur,7327GM,VENLO,1.0,9700AA,VIANEN UT,NLD,,,m,4120.0,,,Algemeen overheidsbestuur,Uitleenbureaus,,9-4-2010,26-8-2010,26-3-1997,28-10-2013
K60991,078 6107700,34.0,6641 TL,Groningen,,356.0,5690 AC,Oudewater,Publiekrechtelijke rechtspersoon,3439NA,AMSTERDAM,4.0,3600BT,DONGEN,NLD,030  2486911,,,43222.0,,,Financiële holdings,Uitleenbureaus,Loodgieters- en fitterswerk; installatie van sanitair,1-11-2010,30-5-2008,24-8-1979,1-1-1995
K46310,036 - 5320200,60.0,3931 ES,Gouda,,4185.0,7600 AD,Bunnik,Besloten Vennootschap met gewone structuur,3981AZ,BREDA,2.0,6230AB,ROTTERDAM,NLD,010  3030400,,,7112.0,91042.0,78202.0,Algemeen overheidsbestuur,Uitleenbureaus,,3-9-2012,25-2-2008,25-3-2003,28-3-2013
K61000,034 - 7354444,854.0,5710 AC,Rosmalen,,96829.0,4131 PA,Apeldoorn,Eenmanszaak,5928PT,UTRECHT,45.0,1704RN,GRONINGEN,NLD,010  5242424,,,8411.0,78202.0,,"Ontwikkelen, produceren en uitgeven van software",,,26-1-2015,18-12-1964,,9-12-2013
1002643,020-4962121,8185.0,3528 BG,Dodewaard,0344-578600,7.0,8080 AC,Goor,Besloten Vennootschap met gewone structuur,9289HH,ERP,63.0,4700BC,'S-GRAVENHAGE,NLD,038  4560456,,,3315.0,,,Ingenieurs en overig technisch ontwerp en advies,Ingenieurs en overig technisch ontwerp en advies,Loodgieters- en fitterswerk; installatie van sanitair,20-11-2014,11-4-1989,,1-7-1931
D-00033,024 - 3225522,2.0,6800 AD,Werkendam,,344.0,3600 BA,Aalten,Publiekrechtelijke rechtspersoon,1822JC,AMSTERDAM,17.0,5248JT,OLDENZAAL,NLD,0591 626300,,,4120.0,43222.0,,Algemene burgerlijke en utiliteitsbouw,Grondverzet,,11-2-2014,10-12-1965,30-6-2016,1-4-2000
1002512,073 5436611,37.0,5410 AA,Almere,,10150.0,3006 AE,Utrecht,Besloten Vennootschap met gewone structuur,5928PH,HATTEM,98.0,3006HC,GORINCHEM,NLD,077  3232300,,,2825.0,,,Wegenbouw,,"Groothandel in appendages, technische toebehoren e.d.",28-6-2006,19-8-1977,27-12-1972,3-2-2005
D-00032,072 - 5762200,418.0,9751 SL,Burgum,0183 642310,400.0,3220 AE,Elst Gld,Besloten Vennootschap met gewone structuur,4131NJ,HEERENVEEN,211.0,4300JA,AMSTERDAM,NLD,0598 343800,,m,33121.0,42111.0,,Ingenieurs en overig technisch ontwerp en advies,Wegenbouw,Slopen van bouwwerken,11-6-2007,18-4-1980,24-2-2006,1-5-1908
D-00148,030-7551520,1025.0,4131 NJ,Roermond,,47.0,6400 AC,Zaltbommel,Publiekrechtelijke rechtspersoon,5061HX,BUNNIK,3.0,7302HD,NUNSPEET,NLD,076  5781200,,,2420.0,4312.0,45203.0,Elektrotechnische bouwinstallatie,Uitleenbureaus,,10-3-2010,17-4-1986,,1-3-1975
1002590,018 - 350 8888,41.0,3584 CX,Bunnik,,330.0,3990 DA,Utrecht,Publiekrechtelijke rechtspersoon,3439MR,CULEMBORG,1.0,7130AD,,NLD,0348 479020,,,8411.0,4120.0,4321.0,Preventieve gezondheidszorg (geen arbobegeleiding),Algemene burgerlijke en utiliteitsbouw,,27-9-2007,15-9-1981,1-7-2003,16-10-2008
D-00201,,99.0,2595 AK,Utrecht,0512 - 36 98 71,19.0,6970 AA,Kampen,Besloten Vennootschap met gewone structuur,5708HZ,WINTERSWIJK,10.0,1190AA,RIJSSEN,NLD,030  6592975,,m,8411.0,,,Loodgieters- en fitterswerk; installatie van sanitair,Natte waterbouw,,6-6-2012,26-7-2006,5-11-1981,31-8-2006
D-00150,030 6044282,94148.0,4041 CL,Enschede,,60.0,4700 BL,Dodewaard,Besloten Vennootschap met gewone structuur,3925CC,ZAANDAM,1.0,2150AD,HENGELO OV,NLD,0529 488600,,,7112.0,,78202.0,"Crematoria, mortuaria en begraafplaatsen",Overige dienstverlenende activiteiten op het gebied van informatietechnologie,Algemene burgerlijke en utiliteitsbouw,29-9-2008,14-1-1980,29-5-1998,1-11-1997
1002531,0545-294669,40.0,6077 NN,Maarssen,,525.0,9288 AG,Capelle aan den IJssel,Besloten Vennootschap met gewone structuur,3901EG,'S-HERTOGENBOSCH,25.0,3350AA,ZWOLLE,NLD,0348 435100,,m,6420.0,,,Holdings (geen financiële),Loodgieters- en fitterswerk; installatie van sanitair,,22-12-2009,,4-2-1993,5-9-2001
D-00079,0599 612438,10101.0,4130 EE,Hengelo Ov,,8.0,1822 JC,Almere,Besloten Vennootschap met gewone structuur,9711GA,ROTTERDAM,131.0,4941VR,ASSENDELFT,NLD,035  6039222,,,7112.0,78202.0,,"Vervaardiging van stalen buizen, pijpen, holle profielen en fittings daarvoor",,Elektrotechnische bouwinstallatie,3-2-2010,2-3-1993,27-2-1973,1-9-1971
K60930,040-2825 540 (08:00 - 12:00),104.0,7812 HZ,Breda,,1.0,5700 AC,Amsterdam,Besloten Vennootschap met gewone structuur,5261EV,ROTTERDAM,14.0,4700BA,SOMEREN,NLD,088  2227000,,,4321.0,42111.0,,Overige gespecialiseerde werkzaamheden in de bouw n.e.g.,Winkels in onderdelen voor elektrische huishoudelijke apparatuur,,10-10-2011,19-7-2005,,15-9-1981
K60695,,202.0,3006 HK,Eindhoven,(0) 70 514 32 31,34.0,8914 BC,Dorst,Buitenlandse op EG-vennootschap lijkende vennootschap met onderneming in Nederland,5248JT,LOPIK,90.0,4043JC,DORDRECHT,NLD,040  2825540,,,4321.0,,4291.0,Algemene burgerlijke en utiliteitsbouw,Loodgieters- en fitterswerk; installatie van sanitair,,13-4-2010,3-7-2009,10-2-1994,13-12-2007
1001521,,96.0,3980 CB,Roermond,,120.0,9503 JA,'s-Hertogenbosch,Besloten Vennootschap met gewone structuur,1042AH,ZWOLLE,15.0,8051CM,NIJVERDAL,NLD,0570 697911,,m,8412.0,78202.0,,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",Uitleenbureaus,Uitleenbureaus,17-5-2010,19-1-1940,,10-11-2015
K60554,06-52333699 / 073 782 0168,235.0,5690 AC,Woerden,,1025.0,2508 CL,Burgum,Besloten Vennootschap met gewone structuur,6135KH,BOXTEL,42.0,8050AA,ALKMAAR,NLD,026  3795950,,,78201.0,7810.0,78202.0,Algemeen overheidsbestuur,,,5-9-2005,30-5-1991,,1-1-1934
D-00022,050 3119559,27.0,7120 AB,Amsterdam,,63.0,6669 CJ,Sint Odiliënberg,Publiekrechtelijke rechtspersoon,8263BC,SPIJKENISSE,5.0,5680AB,'S HERTOGENBOSCH,NLD,077  3872424,,,4120.0,,,"Vervaardiging van platen, folie, buizen en profielen van kunststof",Grondverzet,,2-12-2009,20-1-1988,30-12-1977,1-9-2014
D-00086,0592 392111  088-4261581 cred,134.0,8914 BC,Helmond,023 5301302,238.0,6920 AA,Roermond,Besloten Vennootschap met gewone structuur,1043AJ,CUIJK,2.0,5605JD,GORINCHEM,NLD,010  2888777,,m,4312.0,52102.0,,Algemeen overheidsbestuur,,Leggen van elektriciteits- en telecommunicatiekabels,23-8-2016,31-5-1996,,20-12-2012
K10037,0320 265265,2240.0,4250 DB,IJsselstein Ut,,160.0,3001 AM,Rosmalen,Besloten Vennootschap met gewone structuur,2964AJ,NIEUWEGEIN,9.0,5469KB,ELBURG,NLD,040  2149111,,m,78202.0,,,Sociale werkvoorziening,,,13-11-2013,19-12-1974,,1-1-1986
K60846,14010,356.0,3600 BA,Vianen Ut,,680.0,5201 GE,Houten,Publiekrechtelijke rechtspersoon,1119NT,ALKMAAR,66.0,3360AA,BOXMEER,NLD,,,m,4120.0,78202.0,4120.0,Algemene burgerlijke en utiliteitsbouw,,,7-1-2013,20-12-1963,,6-6-1989
K60948,0418-681681,8790.0,3600 BA,'s-Gravenhage,,19.0,5600 PN,'s-Gravenhage,Publiekrechtelijke rechtspersoon,1014BT,DEURNE,18.0,7420AA,VEENENDAAL,NLD,050  5565050,,,4312.0,,78202.0,Ingenieurs en overig technisch ontwerp en advies,,,13-1-2012,,,3-1-2000
K58054,078 6321020,1026.0,3063 AN,Sint Philipsland,0545-295165,40.0,5240 AA,Amsterdam,Besloten Vennootschap met gewone structuur,9203ZN,OOSTERHOUT,71.0,9203ZN,MAARSSEN,NLD,0252 222007,,,96032.0,,,Algemene burgerlijke en utiliteitsbouw,,,25-1-2016,5-3-1956,,18-8-2010
K60416,0515-489000,81.0,3001 AM,Eindhoven,,41.0,7460 AE,Nieuwegein,Besloten Vennootschap met gewone structuur,1815GL,UTRECHT,53.0,6040AA,EMMEN,NLD,040  2570571,,,6201.0,,78202.0,Bouw van boven- en ondergrondse spoorwegen,,,22-4-2008,,6-3-1980,1-8-2008
1001490,010 - 28 55 285,135.0,3901 GA,Houten,,26.0,7570 AC,Maarssen,Besloten Vennootschap met gewone structuur,3084CB,AMSTERDAM,11.0,2900AK,ZAANDAM,NLD,040  2638888,,m,4222.0,,,Algemene burgerlijke en utiliteitsbouw,Elektrotechnische bouwinstallatie,Groothandel in bouwmaterialen algemeen assortiment,9-1-2007,19-10-1990,19-5-1993,10-5-1971
K60368,010-4478444,9007.0,8000 AA,Elburg,038-4223197,22.0,3800 AG,'s-Gravendeel,Besloten Vennootschap met gewone structuur,7812HZ,ZIERIKZEE,18.0,1110AG,ZWOLLE,NLD,023  5319549,,,42111.0,,,Elektrotechnische bouwinstallatie,Groothandel in gereedschapswerktuigen,,3-11-2010,,,19-12-1974
1002221,070 5145420,211.0,7801 CC,Mierlo,0548 68 88 89,6.0,1161 JN,Zaandam,Besloten Vennootschap met gewone structuur,7041GB,UTRECHT,11.0,4800CE,HEEL,NLD,030  6597850,06 10904686,,3321.0,,,Vervaardiging van machines en apparaten voor industriële koeltechniek en klimaatregeling,,Uitleenbureaus,30-1-2014,,,28-12-1982
K60902,033-2772324,4234.0,3760 AE,Doetinchem,,313.0,4600 AA,Best,Publiekrechtelijke rechtspersoon,5248JT,BREDA,15.0,5201AW,BEEK LB,NLD,030  2568611,,m,7112.0,,,Natte waterbouw,Financiële holdings,,15-6-2010,22-8-1997,,1-5-2008
D-00106,020 - 410 8410,29.0,3430 BL,Rotterdam,,15.0,3980 CE,IJmuiden,Besloten Vennootschap met gewone structuur,9723DV,LEEK,13.0,4800DD,BUNNIK,NLD,055  5059200,043 3506000,f,7112.0,70102.0,,Financiële holdings,"Laad-, los- en overslagactiviteiten niet voor zeevaart",,23-3-2012,28-12-1984,,24-1-1934
K59618,078-6448111,1458.0,5340 BA,Capelle aan den IJssel,,623.0,5071 ND,Harmelen,Besloten Vennootschap met gewone structuur,3515ET,SOMEREN,5.0,2800AE,HEERHUGOWAARD,NLD,0162 328383,,m,2790.0,8121.0,78202.0,Algemeen overheidsbestuur,,Groothandel in elektronische en telecommunicatieapparatuur en bijbehorende onderdelen,17-10-2006,19-12-1980,,1-8-1978
K60814,040 - 2083444,30001.0,8051 CM,Rosmalen,0512-335666,88.0,3505 AB,Oosterhout NB,,5692EG,SCHIPHOL-RIJK,232.0,5605JB,'S-GRAVENHAGE,NLD,0226 313411,,m,6420.0,,,Wegenbouw,Uitleenbureaus,,4-2-2009,10-5-1971,12-8-2009,1-1-1942
K60013,,17.0,7300 AP,Lopik,,12345.0,5100 BC,Arnhem,Publiekrechtelijke rechtspersoon,4941SG,ROSMALEN,46.0,1090GC,RAAMSDONKSVEER,NLD,0164 614070,,,7112.0,,,Financiële holdings,,,14-7-2014,,,1-1-1979
K60972,030 - 6598777 (09:00 - 14:00),34.0,1822 JC,Lelystad,,10.0,6135 KH,Heerenveen,Besloten Vennootschap met gewone structuur,4251LR,ALMERE,71.0,3442AC,BUNNIK,NLD,030  2239799,,,8411.0,,6832.0,Dienstverlening voor de akker- en/of tuinbouw,,,18-3-2010,,,14-3-1991
D-00026,0544 - 471111,9007.0,3992 AE,Diemen,,5.0,7122 LB,Vianen Ut,Besloten Vennootschap met gewone structuur,3542DA,DROGEHAM,315.0,9288ZG,ROERMOND,NLD,0543 472501,,,4321.0,,,Preventieve gezondheidszorg (geen arbobegeleiding),,Uitleenbureaus,20-4-2012,4-10-2011,11-12-1972,18-5-1983
D-00073,026 - 376 3800,305.0,4200 AS,Amsterdam,,202.0,5731 JL,Zwolle,Besloten Vennootschap met gewone structuur,5248JT,GRONINGEN,65.0,5004JB,MAARSSEN,NLD,076  5424142,,,2896.0,,6420.0,Leggen van elektriciteits- en telecommunicatiekabels,Uitleenbureaus,,16-12-2009,24-7-1987,27-3-2009,31-5-1989
K60982,033-2984985,1.0,7681 KA,Raamsdonksveer,,13.0,4675 RC,Lelystad,Besloten Vennootschap met gewone structuur,1951JZ,MAARHEEZE,40.0,7400AC,ROTTERDAM,NLD,0182 590600,,m,7112.0,,,Ingenieurs en overig technisch ontwerp en advies,Elektrotechnische bouwinstallatie,,17-12-2013,,,27-1-1975
1001636,010 - 41 06 240,216.0,5902 RD,Burgum,,253.0,3600 BA,Tilburg,Besloten Vennootschap met gewone structuur,7521PH,UTRECHT,40.0,1190AB,OOSTERHOUT NB,NLD,010  4339933,,,20149.0,,,Wasserijen en linnenverhuur,Installatie van verwarmings- en luchtbehandelingsapparatuur,,22-10-2012,,9-4-1999,1-5-1999
K60790,,12600.0,5550 GA,Venray,,2405.0,3980 CB,Venlo,Besloten Vennootschap met gewone structuur,6411HP,BURGUM,18.0,3770AB,HILVARENBEEK,NLD,072  5762200,,,2811.0,,,Ingenieurs en overig technisch ontwerp en advies,Uitleenbureaus,Groothandel in zand en grind,24-11-2014,4-5-2004,29-3-1977,2-3-1993
D-00162,0525-659666,67.0,3208 KJ,Velserbroek,,103.0,3208 KJ,Deventer,Publiekrechtelijke rechtspersoon,8024HA,WENUM WIESEL,104.0,5384ZG,ARNHEM,NLD,050  5347345,,,42111.0,43221.0,,"Leggen van rioleringen, buizen en pijpleidingen; aanleg van bronbemaling",,Beveiliging via beveiligingssystemen,15-10-2008,,,10-2-1977
D-00196,,78.0,3371 AS,Almelo,,17.0,6030 AA,Gorinchem,Besloten Vennootschap met gewone structuur,5248JT,HEEL,34.0,5680AD,APELDOORN,NLD,024  3975454,,,4222.0,43221.0,,Winkels in overige elektrische huishoudelijke apparatuur,,,4-9-2009,2-3-1993,13-3-1973,1-5-1948
K59693,,525.0,9290 AA,Hattem,,17.0,7000 AB,Roermond,Besloten Vennootschap met gewone structuur,9206AS,VENLO,5206.0,3300AP,BERGEN OP ZOOM,NLD,0513 634567,020 2181809,,4213.0,85592.0,,Wegenbouw,Slachterijen (geen pluimvee-),,23-9-2008,19-10-1961,,28-10-1988
1002253,,5.0,7570 AH,Aalten,,4.0,4200 AE,Vianen Ut,Besloten Vennootschap met gewone structuur,3846BM,WERKENDAM,41.0,6669CJ,AMSTERDAM,NLD,0162 575000,,m,6201.0,,,Wegenbouw,Algemene burgerlijke en utiliteitsbouw,,14-5-2007,9-2-1984,2-1-2003,31-12-1991
D-00105,0511 462 782,231.0,3442 AB,Opheusden,,555.0,3350 AH,Rotterdam,Publiekrechtelijke rechtspersoon,7551HT,HELMOND,62.0,2508CL,BREDA,NLD,0315 843650,,m,6201.0,,4321.0,Algemeen overheidsbestuur,,Financiële holdings,24-12-2009,31-12-2008,4-10-1972,17-9-2012
1002442,,60.0,3600 BT,Papendrecht,,62.0,3005 EC,Kaatsheuvel,Publiekrechtelijke rechtspersoon,3361HJ,UTRECHT,2.0,5240AK,WEERT,NLD,043  6099292,,,7112.0,,,Algemene burgerlijke en utiliteitsbouw,Uitleenbureaus,,13-1-2009,,,23-12-1986
K58051,040 - 2893893,290.0,6170 AA,'s-Hertogenbosch,,10.0,6360 AA,Goor,Besloten Vennootschap met gewone structuur,6591CP,SON EN BREUGEL,1.0,1500EC,AMSTERDAM,NLD,0514 581750,,m,8411.0,78202.0,,Afvalwaterinzameling en -behandeling,Ingenieurs en overig technisch ontwerp en advies,,7-6-2011,,,1-6-2007
1001611,0495-574000,1.0,5684 PL,Barendrecht,,98.0,9751 SL,Heerlen,Besloten Vennootschap met gewone structuur,5504PA,KERKRADE,6.0,5400AM,PAPENDRECHT,NLD,0182 340786,,,74201.0,78202.0,8020.0,Ingenieurs en overig technisch ontwerp en advies,"Groothandel in appendages, technische toebehoren e.d.",,29-1-2007,23-11-2000,,1-1-1800
K60864,,18.0,7100 AC,Eindhoven,,6.0,5605 LT,Woerden,Besloten Vennootschap met gewone structuur,4706PB,BEESD,81.0,5600CE,UTRECHT,NLD,070  3533000,,,4120.0,,,"Vervaardiging van meet-, regel-, navigatie- en controleapparatuur",,,7-8-2008,29-5-1998,,1-4-2005
D-00182,,20.0,5240 AG,Hoogvliet Rt,,77.0,7570 AA,Roermond,Publiekrechtelijke rechtspersoon,7001AB,ROSMALEN,22.0,3208LJ,VLAARDINGEN,NLD,050  3688688,06 24417243,,43222.0,,46739.0,Overige administratiekantoren,Installatie van verwarmings- en luchtbehandelingsapparatuur,Overige specialistische zakelijke dienstverlening,28-12-2007,3-2-2012,,30-1-2014
K60970,073 - 5436801,166.0,6300 AZ,Deventer,,31.0,4116 ZJ,Breda,Naamloze Vennootschap met gewone structuur,7602EA,BUNNIK,71.0,4941VL,BREDA,NLD,078  6910911,,,4120.0,,7112.0,Algemeen overheidsbestuur,Bedrijfsopleiding en -training,Uitleenbureaus,10-7-2014,22-10-1960,,1-1-2001
K59626,,1025.0,2964 ZG,Beek Lb,,5.0,8000 AP,Houten,Besloten Vennootschap met gewone structuur,3381LB,LEEK,32.0,2993LE,VELSERBROEK,NLD,073  5436611,,,3811.0,,,Uitzendbureaus,,Beheer van onroerend goed,14-1-2011,4-5-2004,31-5-1991,1-7-2008
D-00144,0184 - 41 32 88 (di - do - vr + wo ochtend),2.0,1090 GN,Drachten,,78.0,4196 HG,Sittard,Naamloze Vennootschap met gewone structuur,5384TK,RIJSSEN,6.0,2700AB,EDE,NLD,030  6885575,,,43991.0,43221.0,43221.0,"Ontwikkelen, produceren en uitgeven van software",,,7-1-2016,26-10-1979,,1-5-2015
1002592,088 - 85 77 777,3150.0,3980 CE,Gorinchem,,1.0,8000 AP,Nieuwegein,Besloten Vennootschap met gewone structuur,3981AZ,AMSTERDAM,50.0,6135KH,PAPENDRECHT,NLD,040  2825000,,,4120.0,43221.0,,"Vervaardiging van overige machines, apparaten en werktuigen voor specifieke doeleinden n.e.g.",Uitleenbureaus,,13-2-2014,18-12-1964,29-12-1975,1-1-2011
K60495,033-4699199,6.0,5708 HR,Utrecht,,141.0,6202 TC,Son,Besloten Vennootschap met gewone structuur,1704RN,SLIEDRECHT,10.0,5657EB,SOMEREN,NLD,,,m,2910.0,,7112.0,Vervaardiging van elektronische componenten,Uitleenbureaus,,23-11-2009,5-12-1967,24-7-1995,31-3-1983
K60827,033 - 467 1511 (9.00-12.00),8574.0,5231 XA,Nederweert,,50.0,3600 BA,Wenum Wiesel,Besloten Vennootschap met gewone structuur,9745EM,NUNSPEET,10.0,3600BA,CAPELLE AAN DEN IJSSEL,NLD,010  3030400,,,78201.0,,,Leggen van elektriciteits- en telecommunicatiekabels,Ingenieurs en overig technisch ontwerp en advies,,25-7-2002,1-7-2003,30-5-1990,15-10-1998
1000188,088 - 55 00 750 (08:30 - 17:00),10.0,3992 AG,Deventer,,2.0,4201 HL,Haren Gn,Besloten Vennootschap met gewone structuur,3061CH,ROTTERDAM,1.0,3600BT,UTRECHT,NLD,088  1152400,,,42111.0,43222.0,,Vervaardiging van machines en werktuigen voor de land- en bosbouw,Uitleenbureaus,,18-9-2014,5-11-1981,,27-1-1975
